threshold,TP,FP,FN,TN,cost
0.0,85,94,0,0,94
0.01,85,40,0,54,40
0.02,85,34,0,60,34
0.03,85,29,0,65,29
0.04,85,26,0,68,26
0.05,85,25,0,69,25
0.06,85,22,0,72,22
0.07,85,20,0,74,20
0.08,84,19,1,75,24
0.09,84,17,1,77,22
0.1,84,17,1,77,22
0.11,84,17,1,77,22
0.12,83,17,2,77,27
0.13,83,16,2,78,26
0.14,83,16,2,78,26
0.15,83,15,2,79,25
0.16,83,14,2,80,24
0.17,83,14,2,80,24
0.18,83,14,2,80,24
0.19,83,14,2,80,24
0.2,83,13,2,81,23
0.21,83,13,2,81,23
0.22,83,12,2,82,22
0.23,83,11,2,83,21
0.24,83,9,2,85,19
0.25,82,9,3,85,24
0.26,82,9,3,85,24
0.27,82,9,3,85,24
0.28,82,9,3,85,24
0.29,82,9,3,85,24
0.3,82,9,3,85,24
0.31,82,9,3,85,24
0.32,82,9,3,85,24
0.33,82,9,3,85,24
0.34,82,9,3,85,24
0.35000000000000003,82,9,3,85,24
0.36,82,9,3,85,24
0.37,82,8,3,86,23
0.38,82,8,3,86,23
0.39,82,8,3,86,23
0.4,82,8,3,86,23
0.41000000000000003,82,8,3,86,23
0.42,82,8,3,86,23
0.43,82,8,3,86,23
0.44,82,8,3,86,23
0.45,82,8,3,86,23
0.46,82,8,3,86,23
0.47000000000000003,82,8,3,86,23
0.48,82,7,3,87,22
0.49,82,7,3,87,22
0.5,82,7,3,87,22
0.51,82,7,3,87,22
0.52,82,7,3,87,22
0.53,82,7,3,87,22
0.54,82,7,3,87,22
0.55,82,7,3,87,22
0.56,82,6,3,88,21
0.5700000000000001,82,5,3,89,20
0.58,82,5,3,89,20
0.59,82,5,3,89,20
0.6,82,5,3,89,20
0.61,82,4,3,90,19
0.62,82,4,3,90,19
0.63,82,4,3,90,19
0.64,82,4,3,90,19
0.65,82,4,3,90,19
0.66,82,4,3,90,19
0.67,82,3,3,91,18
0.68,82,2,3,92,17
0.6900000000000001,82,2,3,92,17
0.7000000000000001,82,2,3,92,17
0.71,82,2,3,92,17
0.72,82,2,3,92,17
0.73,82,2,3,92,17
0.74,82,2,3,92,17
0.75,82,2,3,92,17
0.76,82,2,3,92,17
0.77,81,2,4,92,22
0.78,80,2,5,92,27
0.79,80,2,5,92,27
0.8,79,2,6,92,32
0.81,78,2,7,92,37
0.8200000000000001,77,2,8,92,42
0.8300000000000001,76,2,9,92,47
0.84,76,2,9,92,47
0.85,76,1,9,93,46
0.86,76,1,9,93,46
0.87,75,0,10,94,50
0.88,74,0,11,94,55
0.89,73,0,12,94,60
0.9,73,0,12,94,60
0.91,73,0,12,94,60
0.92,72,0,13,94,65
0.93,72,0,13,94,65
0.9400000000000001,72,0,13,94,65
0.9500000000000001,70,0,15,94,75
0.96,69,0,16,94,80
0.97,67,0,18,94,90
0.98,64,0,21,94,105
0.99,55,0,30,94,150
1.0,0,0,85,94,425
